date,GTU_denominator,GTU_numerator,NRG_denominator,NRG_numerator
2021-10-05,1,2777778.0,50000,1
2021-10-06,1,2777778.0,50000,1
2021-10-07,1,2777778.0,50000,1
2021-10-08,1,2777778.0,50000,1
2021-10-09,1,2777778.0,50000,1
2021-10-10,1,2777778.0,50000,1
2021-10-11,1,2777778.0,50000,1
2021-10-12,1,2777778.0,50000,1
2021-10-13,1,2777778.0,50000,1
2021-10-14,1,2777778.0,50000,1
2021-10-15,1,2777778.0,50000,1
2021-10-16,1,2777778.0,50000,1
2021-10-17,1,2777778.0,50000,1
2021-10-18,1,2777778.0,50000,1
2021-10-19,1,2777778.0,50000,1
2021-10-20,1,2777778.0,50000,1
2021-10-21,1,2777778.0,50000,1
2021-10-22,1,2777778.0,50000,1
2021-10-23,1,2777778.0,50000,1
2021-10-24,1,2777778.0,50000,1
2021-10-25,1,2777778.0,50000,1
2021-10-26,1,2777778.0,50000,1
2021-10-27,1,2777778.0,50000,1
2021-10-28,1,2777778.0,50000,1
2021-10-29,1,2777778.0,50000,1
2021-10-30,1,2777778.0,50000,1
2021-10-31,1,2777778.0,50000,1
2021-11-01,1,2777778.0,50000,1
2021-11-02,1,2777778.0,50000,1
2021-11-03,1,2777778.0,50000,1
2021-11-04,1,2777778.0,50000,1
2021-11-05,1,2777778.0,50000,1
2021-11-06,1,2777778.0,50000,1
2021-11-07,1,2777778.0,50000,1
2021-11-08,1,2777778.0,50000,1
2021-11-09,1,2777778.0,50000,1
2021-11-10,1,2777778.0,50000,1
2021-11-11,1,2777778.0,50000,1
2021-11-12,1,2777778.0,50000,1
2021-11-13,1,2777778.0,50000,1
2021-11-14,1,2777778.0,50000,1
2021-11-15,1,2777778.0,50000,1
2021-11-16,1,2777778.0,50000,1
2021-11-17,1,2777778.0,50000,1
2021-11-18,1,2777778.0,50000,1
2021-11-19,1,2777778.0,50000,1
2021-11-20,1,2777778.0,50000,1
2021-11-21,1,2777778.0,50000,1
2021-11-22,1,2777778.0,50000,1
2021-11-23,1,2777778.0,50000,1
2021-11-24,1,2777778.0,50000,1
2021-11-25,1,2777778.0,50000,1
2021-11-26,1,2777778.0,50000,1
2021-11-27,1,2777778.0,50000,1
2021-11-28,1,2777778.0,50000,1
2021-11-29,1,2777778.0,50000,1
2021-11-30,1,2777778.0,50000,1
2021-12-01,1,2777778.0,50000,1
2021-12-02,1,2777778.0,50000,1
2021-12-03,1,2777778.0,50000,1
2021-12-04,1,2777778.0,50000,1
2021-12-05,1,2777778.0,50000,1
2021-12-06,1,2777778.0,50000,1
2021-12-07,1,2777778.0,50000,1
2021-12-08,1,2777778.0,50000,1
2021-12-09,1,2777778.0,50000,1
2021-12-10,1,2777778.0,50000,1
2021-12-11,1,2777778.0,50000,1
2021-12-12,1,2777778.0,50000,1
2021-12-13,1,2777778.0,50000,1
2021-12-14,1,2777778.0,50000,1
2021-12-15,1,2777778.0,50000,1
2021-12-16,1,2777778.0,50000,1
2021-12-17,1,2777778.0,50000,1
2021-12-18,1,2777778.0,50000,1
2021-12-19,1,2777778.0,50000,1
2021-12-20,1,2777778.0,50000,1
2021-12-21,1,2777778.0,50000,1
2021-12-22,1,2777778.0,50000,1
2021-12-23,1,2777778.0,50000,1
2021-12-24,1,2777778.0,50000,1
2021-12-25,1,2777778.0,50000,1
2021-12-26,1,2777778.0,50000,1
2021-12-27,1,2777778.0,50000,1
2021-12-28,1,2777778.0,50000,1
2021-12-29,1,2777778.0,50000,1
2021-12-30,1,2777778.0,50000,1
2021-12-31,1,2777778.0,50000,1
2022-01-01,1,2777778.0,50000,1
2022-01-02,1,2777778.0,50000,1
2022-01-03,1,2777778.0,50000,1
2022-01-04,1,2777778.0,50000,1
2022-01-05,1,2777778.0,50000,1
2022-01-06,1,2777778.0,50000,1
2022-01-07,1,2777778.0,50000,1
2022-01-08,1,2777778.0,50000,1
2022-01-09,1,2777778.0,50000,1
2022-01-10,1,2777778.0,50000,1
2022-01-11,1,2777778.0,50000,1
2022-01-12,1,2777778.0,50000,1
2022-01-13,1,2777778.0,50000,1
2022-01-14,1,2777778.0,50000,1
2022-01-15,1,2777778.0,50000,1
2022-01-16,1,2777778.0,50000,1
2022-01-17,1,2777778.0,50000,1
2022-01-18,1,2777778.0,50000,1
2022-01-19,1,2777778.0,50000,1
2022-01-20,1,2777778.0,50000,1
2022-01-21,1,2777778.0,50000,1
2022-01-22,1,2777778.0,50000,1
2022-01-23,1,2777778.0,50000,1
2022-01-24,1,2777778.0,50000,1
2022-01-25,1,2777778.0,50000,1
2022-01-26,1,2777778.0,50000,1
2022-01-27,1,2777778.0,50000,1
2022-01-28,1,2777778.0,50000,1
2022-01-29,1,2777778.0,50000,1
2022-01-30,1,2777778.0,50000,1
2022-01-31,1,2777778.0,50000,1
2022-02-01,1,2777778.0,50000,1
2022-02-02,1,2777778.0,50000,1
2022-02-03,1,2777778.0,50000,1
2022-02-04,1,2777778.0,50000,1
2022-02-05,1,2777778.0,50000,1
2022-02-06,1,2777778.0,50000,1
2022-02-07,1,2777778.0,50000,1
2022-02-08,1,2777778.0,50000,1
2022-02-09,1,2777778.0,50000,1
2022-02-10,1,7982120.0,50000,1
2022-02-11,1,9796238.0,50000,1
2022-02-12,1,13858093.0,50000,1
2022-02-13,1,14204545.0,50000,1
2022-02-14,1,12768131.0,50000,1
2022-02-15,1,13858093.0,50000,1
2022-02-16,1,16711230.0,50000,1
2022-02-17,1,16892577.0,50000,1
2022-02-18,549755813888,1.0458900097446552e+19,50000,1
2022-02-19,549755813888,1.1263117882964353e+19,50000,1
2022-02-20,549755813888,1.19579869171303e+19,50000,1
2022-02-21,549755813888,1.243938008978598e+19,50000,1
2022-02-22,274877906944,4.4460885694192655e+18,50000,1
2022-02-23,137438953472,3.173469338934759e+18,50000,1
2022-02-24,274877906944,7.27889664952972e+18,50000,1
2022-02-25,549755813888,1.512064634152588e+19,50000,1
2022-02-26,549755813888,1.5494929126611296e+19,50000,1
2022-02-27,549755813888,1.5852124593903978e+19,50000,1
2022-02-28,549755813888,1.6665094777851902e+19,50000,1
2022-03-01,274877906944,6.716899326726609e+18,50000,1
2022-03-02,549755813888,1.3293077520333353e+19,50000,1
2022-03-03,17179869184,4.617061800499532e+17,50000,1
2022-03-04,549755813888,1.7188502934130366e+19,50000,1
2022-03-05,274877906944,8.436437205233633e+18,50000,1
2022-03-06,274877906944,8.647599015330631e+18,50000,1
2022-03-07,274877906944,8.307710545505129e+18,50000,1
2022-03-08,137438953472,4.345014699971974e+18,50000,1
2022-03-09,549755813888,1.517436244334018e+19,50000,1
2022-03-10,137438953472,3.955751514260321e+18,50000,1
2022-03-11,549755813888,1.5972284287838384e+19,50000,1
2022-03-12,137438953472,4.2479467458344673e+18,50000,1
2022-03-13,549755813888,1.71090179961103e+19,50000,1
2022-03-14,549755813888,1.7297818166870252e+19,50000,1
2022-03-15,549755813888,1.7565874571734137e+19,50000,1
2022-03-16,137438953472,4.404135554271821e+18,50000,1
2022-03-17,549755813888,1.750746039967086e+19,50000,1
2022-03-18,549755813888,1.8006531509282804e+19,50000,1
2022-03-19,274877906944,8.773631692900443e+18,50000,1
2022-03-20,549755813888,1.808550084232014e+19,50000,1
2022-03-21,549755813888,1.8157745782144328e+19,50000,1
2022-03-22,549755813888,1.8094985389050524e+19,50000,1
2022-03-23,274877906944,9.428037159847952e+18,50000,1
2022-03-24,137438953472,4.72638556648044e+18,50000,1
2022-03-25,169045426763,5.62949953421312e+18,50000,1
2022-03-26,1300099655,3.650160244185987e+16,50000,1
2022-03-27,146837656549,3.800825660088516e+18,50000,1
2022-03-28,661588971525,1.724961168554269e+19,50000,1
2022-03-29,184244492077,4.791543123374244e+18,50000,1
2022-03-30,489685944407,1.2022053936660742e+19,50000,1
2022-03-31,656585320349,1.392083984244349e+19,50000,1
2022-04-01,507413039471,1.068196150180792e+19,50000,1
2022-04-02,180542940449,3.708294823261774e+18,50000,1
2022-04-03,501075909433,9.827624705488388e+18,50000,1
2022-04-04,658945480033,1.2326495157154978e+19,50000,1
2022-04-05,817359228301,1.3892209733506773e+19,50000,1
2022-04-06,735395597903,1.40737488355328e+19,50000,1
2022-04-07,184153990203,3.602879701896397e+18,50000,1
2022-04-08,378980610803,9.007199254740992e+18,50000,1
2022-04-09,66134791095,1.5620317323643428e+18,50000,1
2022-04-10,576986587845,1.3827869495040016e+19,50000,1
2022-04-11,92080352501,2.331408293293792e+18,50000,1
2022-04-12,283610920489,7.470259659493296e+18,50000,1
2022-04-13,567116768239,1.40737488355328e+19,50000,1
2022-04-14,118602681243,2.958265240003365e+18,50000,1
2022-04-15,70748191793,1.8058854004686848e+18,50000,1
2022-04-16,211123766661,5.581789026607698e+18,50000,1
2022-04-17,263801050333,7.205759403792794e+18,50000,1
2022-04-18,502491943173,1.40737488355328e+19,50000,1
2022-04-19,196301958929,5.382290960344007e+18,50000,1
2022-04-20,162949778279,4.398046511104e+18,50000,1
2022-04-21,204059393901,5.62949953421312e+18,50000,1
2022-04-22,115913859781,3.2444856364420137e+18,50000,1
2022-04-23,515779532065,1.5230608200905458e+19,50000,1
2022-04-24,334077961793,9.92987466364985e+18,50000,1
2022-04-25,188079046163,5.62949953421312e+18,50000,1
2022-04-26,96051761533,2.846023602219329e+18,50000,1
2022-04-27,480179562507,1.40737488355328e+19,50000,1
2022-04-28,379707333479,1.115894380046805e+19,50000,1
2022-04-29,576006175601,1.7384898483679674e+19,50000,1
2022-04-30,179005024749,5.62949953421312e+18,50000,1
2022-05-01,180842718577,5.62949953421312e+18,50000,1
2022-05-02,378660636147,1.181952270637747e+19,50000,1
2022-05-03,550786145849,1.7365680090823786e+19,50000,1
2022-05-04,369405983243,1.205705337773395e+19,50000,1
2022-05-05,86798214289,2.8823037615171174e+18,50000,1
2022-05-06,395857259309,1.40737488355328e+19,50000,1
2022-05-07,146263132727,5.30659826879744e+18,50000,1
2022-05-08,151386080789,5.62949953421312e+18,50000,1
2022-05-09,309312257917,1.2399855008443154e+19,50000,1
2022-05-10,354207149639,1.294363397658227e+19,50000,1
2022-05-11,319927335539,1.2780111775775556e+19,50000,1
2022-05-12,373232300681,1.40737488355328e+19,50000,1
2022-05-13,409585565653,1.465989674122235e+19,50000,1
2022-05-14,278983124409,1.0318016237181403e+19,50000,1
2022-05-15,217404352909,7.888092404553908e+18,50000,1
2022-05-16,233777533201,9.007199254740992e+18,50000,1
2022-05-17,13109877497,5.498120093537904e+17,50000,1
2022-05-18,307985838129,1.40737488355328e+19,50000,1
2022-05-19,2414418829,1.0965117100408832e+17,50000,1
2022-05-20,23568953375,1.076748749411809e+18,50000,1
2022-05-21,53959029821,2.474943248988214e+18,50000,1
2022-05-22,249079233511,1.125899906842624e+19,50000,1
2022-05-23,154087887033,7.205759403792794e+18,50000,1
2022-05-24,142030091817,7.0368744177664e+18,50000,1
2022-05-25,270850071619,1.3517466480139436e+19,50000,1
2022-05-26,146823033579,7.037411234925961e+18,50000,1
2022-05-27,342042058511,1.7592186044416e+19,50000,1
2022-05-28,49302348669,2.697358425855919e+18,50000,1
2022-05-29,52040388479,2.81474976710656e+18,50000,1
2022-05-30,68688760779,3.5184372088832e+18,50000,1
2022-05-31,190381865447,9.061197023056364e+18,50000,1
2022-06-01,228789229693,1.1621244511593898e+19,50000,1
2022-06-02,306308500999,1.6366751520960266e+19,50000,1
2022-06-03,210677083153,1.1151762196050805e+19,50000,1
2022-06-04,186058379105,9.697144243942064e+18,50000,1
2022-06-05,196964686557,1.0237404128916275e+19,50000,1
2022-06-06,21019253837,1.099511627776e+18,50000,1
2022-06-07,221599136857,1.1437178064058272e+19,50000,1
2022-06-08,262585753973,1.40737488355328e+19,50000,1
2022-06-09,141114212449,7.452030078004683e+18,50000,1
2022-06-10,63372415637,3.489589777326398e+18,50000,1
2022-06-11,173638211079,1.0124125074234489e+19,50000,1
2022-06-12,28515279631,1.8014398509481984e+18,50000,1
2022-06-13,228041702555,1.6946161751868572e+19,50000,1
2022-06-14,16846806529,1.125899906842624e+18,50000,1
2022-06-15,86480736467,5.959236392845951e+18,50000,1
2022-06-16,839711799,5.90820841068905e+16,50000,1
2022-06-17,32981593957,2.251799813685248e+18,50000,1
2022-06-18,133715067973,9.007199254740992e+18,50000,1
