date,blockHash,totalAmountReleased,blockHeight,totalAmount
2021-10-09,4fdead94cd13e9632105d82506b2705862a40b93b6bac8f9585cb03221c3105e,,1048431.0,1.0325720932526108e+16
2021-10-10,078259445ca695a9a9fe801ddce97ce332cb61cbf30b6084ebf5abc63fd885aa,,1056876.0,1.032841817661478e+16
2021-10-11,c5c7a1923d8573d1954c88722a84e3efa6637c0360b95b0b120c93b74c702ecc,,1065429.0,1.0331114134776728e+16
2021-10-12,625a9111b60df710a8da5042907b57f0cd2e8ae99c873b2809669c3e4ef099a6,,1073940.0,1.0333813701178772e+16
2021-10-13,455bf94845eff8c4c068e02e0ad944315ef6ad88539575a6316bf5d0ba0950d7,,1082553.0,1.0336512348525756e+16
2021-10-14,d14d6b56c3b916e87a5fb1c2d1170b2a013d6bc8be46f1740327686e70c9ca2e,,1091179.0,1.0339211419386576e+16
2021-10-15,7e9dddc3ccd59492359ce581cdec277eb8b82e04ad44d5c006d3b33e13058d57,,1099724.0,1.0341911648241104e+16
2021-10-16,a52d454dd29f8b15fd5b44fc29f947f6342e75fe89b88a26d977f00ca04cefdf,,1108305.0,1.034461230092052e+16
2021-10-17,0753114d1815d133dd925ae53a077b06fef8930c4fd209a9b33dc197ed7369d5,,1116956.0,1.034731430774038e+16
2021-10-18,a79708f6a8dd8642c8149e47e12ef42b9392e42a082cf6896c6b6fb3b3298207,,1125479.0,1.035001659021605e+16
2021-10-19,20f77a3f8d6a968cc4fc2fe870b143d0510fc8000e00ba411467e150fbbc21d0,,1134032.0,1.0352719601880556e+16
2021-10-20,cfa6464ef59c4c92d04ca85e2089d7f2dbbdcfdb9a2ceeee62b173f079d30006,,1142434.0,1.0355423131682944e+16
2021-10-21,30825051d890c929ed8afa286a599597b8ebfa76778695ca1e1730d11595cfad,,1150918.0,1.0358127195312954e+16
2021-10-22,57927ad29b6d6ce3abe8ef621a56a1b51557b09c14592ff7875712b53fa979e2,,1159442.0,1.0360832559993186e+16
2021-10-23,8ace9952aced411dd276c0d7a3434469a4181b787d61020bc4d9a9b7378c1d19,,1167993.0,1.0363538404188296e+16
2021-10-24,65ff7cafe9b35be9c16b041fde0429de4a94a397d60ea834b06a439451758f0f,,1176468.0,1.0366245072529848e+16
2021-10-25,57bb969abafd311d191b08f4bba4bdb5ed23978b440ee25ce65fbeeb023e8e05,,1185043.0,1.0368952580963432e+16
2021-10-26,2080089d8d5edb0fb0fb3ff1b25cd47f73d3ce79980af7f31ab4ec384a2df3c0,,1193648.0,1.0371659809161548e+16
2021-10-27,7248a240f94ce4f3927a2a0534ccb006c318e948d9ce671dade1fe043d8dfb56,,1202016.0,1.0374368998353448e+16
2021-10-28,f733ac595112a9ae1e209a012eda2930cc34352181857af03fed4e5e46fc864a,,1210589.0,1.0377078377736984e+16
2021-10-29,ccbd4573a3f911f109fdeba99e208df2e02310cb72dbfb66fa5b5bacc54b5705,,1219164.0,1.037978813531445e+16
2021-10-30,7dd64d53a69819c728b6804f0f5f3456634869f848c6cbf24cf6827706bdbc13,,1227673.0,1.0382499180994056e+16
2021-10-31,cbdce2e4a5a51d1d04be4acf934f68499da2f7042971b2d6ff0224028276d8d2,,1236199.0,1.0385210393334886e+16
2021-11-01,23e985db4957158712ba05dd7ecf933575752fdcfcec15eb5c27666088208159,,1244680.0,1.0387922933715076e+16
2021-11-02,bf6fd1991a7edc9293d4936436949c6a995c856f0021c2c7402de9fb41e0a17e,,1253306.0,1.0390635664436998e+16
2021-11-03,4559d3789eeb3f2e061f423ede62577d4655f9a6f9137476512c1abea00dad55,,1261823.0,1.0393349331302044e+16
2021-11-04,9cb1235d9407bb4d12f350df1176516ac36e63aa3663fb7a6063197ec9946e55,,1270423.0,1.039606359691216e+16
2021-11-05,af5c592dfc141769bb33ad3ef321540243f304cfb8632e6c01b58702756bf2c5,,1278922.0,1.0398778767788088e+16
2021-11-06,c96439ffd50ede261ef3f60200ef05632df1ea8b167ac114e35694cb93075f15,,1287502.0,1.0401494294137428e+16
2021-11-07,551b0c672df84cbb787fb7fb254aad7cedef0c108a02ec7c3101ca7f46deb372,,1296167.0,1.0404210781170852e+16
2021-11-08,5a43559cee4711d8216abb385748bb90cc85e9e5cb97e72654fa8d85cce9e074,,1304728.0,1.0406927820388132e+16
2021-11-09,2ca68ed9d1b2460ecc75fbaa48a4d5dccc0ddc12dea2d1b8dbead70f8635e8b0,,1313245.0,1.0409645396121014e+16
2021-11-10,3a843415b532dbdd073d74319c50fb22d956d1a4cb81277138c5158ce0a1dec8,,1321795.0,1.0412364358080324e+16
2021-11-11,4767e27357fbf03b139633688ddee2f0f7ed2cd98f4e6a579f7f302535a71d7b,,1330366.0,1.0415083196078268e+16
2021-11-12,8738ee52c6ca55fd15806aeab05e32a16bb4952dc84946ac0873b8948845a6b5,,1339038.0,1.0417803649213588e+16
2021-11-13,c72289d8d04fbb9409843cf4d60d6e6da41fc7161a592904752cd045c8db643e,,1347711.0,1.0420524049220332e+16
2021-11-14,68098f40d4231d295f7ea833e88ef07f58a535cf6ff18f2c365ba1bc16b204d8,,1356300.0,1.042324560850582e+16
2021-11-15,60ec7a8d1bd5df77d44d70dce8255d1b6eec8e97c9d45aa0cb9fddbdad6e0122,,1364849.0,1.0425967910099136e+16
2021-11-16,f685807aaa2e925bb8b59f95983fc19c8de15d8ca9d90344dfce3607f5439a67,,1373379.0,1.04286907493419e+16
2021-11-17,92080f0a659acc0e479279a8dc7645c5f47c17a5df2cd50b5ba30f06d0a465b0,,1382115.0,1.0431414181455212e+16
2021-11-18,c12c5c8942b24bcfa9ece031fb04f2f3b3967d3561c2529b1926856d3a64d76d,,1390762.0,1.043413838785702e+16
2021-11-19,d71b2259f06f3c20814ebba51c3921fd06c981bc44588aecf19ed48fd99d1c5d,,1399295.0,1.043686342398264e+16
2021-11-20,2bdb16c5669403118ca0799102fd60c076ba1d360f3ddfd995d88caa2e760e48,,1407825.0,1.0439589116578884e+16
2021-11-21,74b7262fc8901473fbe31a201876573cdcd8a7738877a2592422c7089917da00,,1416514.0,1.0442315339550546e+16
2021-11-22,0a63bd8dcc616614b7f47930e07d90e5873199b8fca303a8ae067469383e3c73,,1425011.0,1.044504259802448e+16
2021-11-23,1cc25d76ff07783af354d551e13cf2ca21010ede150f4c878dfc0701f21c9206,,1433792.0,1.0447770442482972e+16
2021-11-24,6c0a8650eec3beb5bb4c50af1a69efbbfe5348191d3f4a34b2dff99c5a8c0d67,,1442273.0,1.0450498620339628e+16
2021-11-25,e092f89e4a7555315fe59d702b914154f37fac2546291c1659882e0b02c2dc3f,,1450933.0,1.0453228174033832e+16
2021-11-26,c7206222f6edad7c151375d8261bf7ac4fa0e4eb17f37d592f82cd443bed3d7e,,1459516.0,1.045595792714598e+16
2021-11-27,9b79b6e30cdf83de8299d3dc53c4467b3ac70bfcd1a174318168569705498bdb,,1467963.0,1.0458688337789466e+16
2021-11-28,08677b678d83de9d8d6e439543784071fc767e8f5ca549532b80d11eb370b0ad,,1476578.0,1.0461419801322048e+16
2021-11-29,57b263331da03ee9425185a628636ce784250d65d289a42f34cc8e552b3e5c63,,1485029.0,1.0464152081005332e+16
2021-11-30,f66a6db0f2daee2a987c4b8755f2c54556ff4396c2f4a003f448c8e7c51dc623,,1493733.0,1.0466884512798304e+16
2021-12-01,1ed82a71a465ecc45ad8b03f738f83d51f424fa6191dc4fbb01c48cbef2dfdc2,,1502325.0,1.0469618354215652e+16
2021-12-02,23d6f4c85c9e6bcb1e1ffa5cde2345adc37dd17d0a66d590dadb084610f8ee35,,1510918.0,1.0472352442843084e+16
2021-12-03,24ce41df62bf23877014d0323afc2dea4c061cd4eaead94f079b84bc067603da,,1519483.0,1.0475087474988264e+16
2021-12-04,17d30cf263e02d98b3a994d1b636f38aaa273f11eba320fd50b643e03a34a708,,1528094.0,1.0477822643514968e+16
2021-12-05,90f2973ffc51e17761fa2db8567ab229aecad31db834ec271bdce10f544e4ced,,1536617.0,1.0480559516071248e+16
2021-12-06,f16356d71ac36df51fbbfe4cffe7285a3503ebed0b78068a0bcb9c282c083661,,1545145.0,1.048329637479962e+16
2021-12-07,5a1a7930b6bc5535d9656c1f19915edcf2d2721814ae62a5c136dc55e23bc48a,,1553840.0,1.0486033964068066e+16
2021-12-08,9a31da98b9337805ffb3493800977a02d12c1b9009bd2a82b9a938f73f4f6dc2,,1562480.0,1.04887729814726e+16
2021-12-09,a9aad38bf6942a345aa8eba6de260fc5bc8f316d3325d49636d048c019eb7bc4,,1571151.0,1.049151232590082e+16
2021-12-10,7d6baf961fbed3615e1f55b465c074f01adf159b8e8fe28325f4e9a0b424d81e,,1579614.0,1.0494251751433096e+16
2021-12-11,c458a302f5bd13cd8bb0491969fd85f33a11ca3b3d489cb5b2d13839bea8340c,,1588153.0,1.04969927488203e+16
2021-12-12,739e2301d0486229e8b1ee15d30e4b83d0acaff13126aff2fb4bb533e503f0e3,,1596728.0,1.049973362120548e+16
2021-12-13,bd2e854b000d5612ec654fec68507bbb486857903d5f368a62897c3429b67d9c,,1605365.0,1.0502476224981332e+16
2021-12-14,f246ebbd916a28389b3d1de37ee6065161f2be595fc81fbade124b2de2995355,,1613869.0,1.0505218870466232e+16
2021-12-15,4dcb76be6988fd8e6542dc1e92528e1c47b3cfc9a6eb78a2cbad88b7ea331596,,1622451.0,1.0507962303628322e+16
2021-12-16,40f8b88f93bc05a90105748187066404890799d98b492146b803ebf13bb01584,,1630883.0,1.0510706731190576e+16
2021-12-17,9467a7af73fa4a92d22186eea9203342abc62a38f1048e2e6c40a58ae4fac7b3,,1639406.0,1.0513451629279556e+16
2021-12-18,47665a34a3f1ba54eb12d24cb2a974e5b38f07a892c49c397f73a0ba91daaac5,,1647936.0,1.0516197291879894e+16
2021-12-19,c852539cee7cb4f51bfee84bfe015c84e65eb9154fa52a03c5a4540bd2379cdc,,1656482.0,1.0518943711268376e+16
