year_month,account,monthly_avg_staked_amount,days_active_in_month,monthly_avg_total_balance,monthly_avg_total_staked
2021-11,3dUfqYpEMJz49UstE2kNi5hkq8rgupTjbTGBtMBPBTMXsYYXDr,16400.0,7,10427355701.695917,5512330254.395542
2021-12,3dUfqYpEMJz49UstE2kNi5hkq8rgupTjbTGBtMBPBTMXsYYXDr,16400.0,31,10510735356.275908,5518592096.669585
2022-01,3dUfqYpEMJz49UstE2kNi5hkq8rgupTjbTGBtMBPBTMXsYYXDr,16602.37654519355,31,10596163291.596704,5506965629.4718275
2022-02,3dUfqYpEMJz49UstE2kNi5hkq8rgupTjbTGBtMBPBTMXsYYXDr,31002.717762499997,28,10678096978.251553,8530504721.472508
2022-03,3dUfqYpEMJz49UstE2kNi5hkq8rgupTjbTGBtMBPBTMXsYYXDr,42334.985944064516,31,10760674959.36261,8530381296.208062
2022-04,3dUfqYpEMJz49UstE2kNi5hkq8rgupTjbTGBtMBPBTMXsYYXDr,42441.45326769565,23,10836796244.096668,8703391739.266043
2021-11,38DmwVuAwtCpscipaKGgAY1fs1huZS66LNqgyiMPTNk1NrgTzN,15000.0,1,10427355701.695917,5512330254.395542
2021-12,38DmwVuAwtCpscipaKGgAY1fs1huZS66LNqgyiMPTNk1NrgTzN,15108.675415741935,31,10510735356.275908,5518592096.669585
2022-01,38DmwVuAwtCpscipaKGgAY1fs1huZS66LNqgyiMPTNk1NrgTzN,32714690.529846903,31,10596163291.596704,5506965629.4718275
2022-02,38DmwVuAwtCpscipaKGgAY1fs1huZS66LNqgyiMPTNk1NrgTzN,40905884.557610355,28,10678096978.251553,8530504721.472508
2022-03,38DmwVuAwtCpscipaKGgAY1fs1huZS66LNqgyiMPTNk1NrgTzN,41310750.20856452,31,10760674959.36261,8530381296.208062
2022-04,38DmwVuAwtCpscipaKGgAY1fs1huZS66LNqgyiMPTNk1NrgTzN,43697878.57221822,23,10836796244.096668,8703391739.266043
2021-11,3B85HEnBzjFcLm2ZN6Ggb9ig7CWT4vsBXM9j46v8o94stmzv9L,15000.0,1,10427355701.695917,5512330254.395542
2021-12,3B85HEnBzjFcLm2ZN6Ggb9ig7CWT4vsBXM9j46v8o94stmzv9L,15000.0,31,10510735356.275908,5518592096.669585
2022-01,3B85HEnBzjFcLm2ZN6Ggb9ig7CWT4vsBXM9j46v8o94stmzv9L,32702097.30852258,31,10596163291.596704,5506965629.4718275
2022-02,3B85HEnBzjFcLm2ZN6Ggb9ig7CWT4vsBXM9j46v8o94stmzv9L,40753053.585368395,28,10678096978.251553,8530504721.472508
2022-03,3B85HEnBzjFcLm2ZN6Ggb9ig7CWT4vsBXM9j46v8o94stmzv9L,43570953.71387103,31,10760674959.36261,8530381296.208062
2022-04,3B85HEnBzjFcLm2ZN6Ggb9ig7CWT4vsBXM9j46v8o94stmzv9L,46354307.84280822,23,10836796244.096668,8703391739.266043
2021-11,3DLD6CpYYa41FmvYdjxTKBhgkM63NtHZGBjBPZgzgSArm1sueS,15000.0,1,10427355701.695917,5512330254.395542
2021-12,3DLD6CpYYa41FmvYdjxTKBhgkM63NtHZGBjBPZgzgSArm1sueS,15179.626281935485,31,10510735356.275908,5518592096.669585
2022-01,3DLD6CpYYa41FmvYdjxTKBhgkM63NtHZGBjBPZgzgSArm1sueS,32708633.670805935,31,10596163291.596704,5506965629.4718275
2022-02,3DLD6CpYYa41FmvYdjxTKBhgkM63NtHZGBjBPZgzgSArm1sueS,40940507.065688826,28,10678096978.251553,8530504721.472508
2022-03,3DLD6CpYYa41FmvYdjxTKBhgkM63NtHZGBjBPZgzgSArm1sueS,41313756.22436752,31,10760674959.36261,8530381296.208062
2022-04,3DLD6CpYYa41FmvYdjxTKBhgkM63NtHZGBjBPZgzgSArm1sueS,41648383.99410826,23,10836796244.096668,8703391739.266043
2021-11,3nxFD3fqtUG6YGAPbg2zBGa81Pt1SvNNTDjvvVakjvHVYw1biN,15000.0,1,10427355701.695917,5512330254.395542
2021-12,3nxFD3fqtUG6YGAPbg2zBGa81Pt1SvNNTDjvvVakjvHVYw1biN,15117.910107354839,31,10510735356.275908,5518592096.669585
2022-01,3nxFD3fqtUG6YGAPbg2zBGa81Pt1SvNNTDjvvVakjvHVYw1biN,32702622.751617964,31,10596163291.596704,5506965629.4718275
2022-02,3nxFD3fqtUG6YGAPbg2zBGa81Pt1SvNNTDjvvVakjvHVYw1biN,40748196.465829924,28,10678096978.251553,8530504721.472508
2022-03,3nxFD3fqtUG6YGAPbg2zBGa81Pt1SvNNTDjvvVakjvHVYw1biN,47698360.07618855,31,10760674959.36261,8530381296.208062
2022-04,3nxFD3fqtUG6YGAPbg2zBGa81Pt1SvNNTDjvvVakjvHVYw1biN,50716040.37858131,23,10836796244.096668,8703391739.266043
2021-11,4D44RYigFqPkABrRAHXSBBQqG4VNhXEsyJrt2GH6V2H8tS1tN3,15254.734294,1,10427355701.695917,5512330254.395542
2021-12,4D44RYigFqPkABrRAHXSBBQqG4VNhXEsyJrt2GH6V2H8tS1tN3,15480.675276806453,31,10510735356.275908,5518592096.669585
2022-01,4D44RYigFqPkABrRAHXSBBQqG4VNhXEsyJrt2GH6V2H8tS1tN3,32713599.035131387,31,10596163291.596704,5506965629.4718275
2022-02,4D44RYigFqPkABrRAHXSBBQqG4VNhXEsyJrt2GH6V2H8tS1tN3,40855378.663530394,28,10678096978.251553,8530504721.472508
2022-03,4D44RYigFqPkABrRAHXSBBQqG4VNhXEsyJrt2GH6V2H8tS1tN3,43204121.58595596,31,10760674959.36261,8530381296.208062
2022-04,4D44RYigFqPkABrRAHXSBBQqG4VNhXEsyJrt2GH6V2H8tS1tN3,43584712.89906643,23,10836796244.096668,8703391739.266043
2021-12,4ZfvU8atfVAdUeHWrJfFMNv5NPpRgiTzBWjrQWazDDtPLV9rds,15686.0,25,10510735356.275908,5518592096.669585
