date,account,baker_id
2022-02-01,3bYDf2e6ijKCSctqkdLDTuwJ41zpZXrVyHu8ErJ75VBH4h24yR,76935
2022-02-01,3taQTr2vfAQmaKgStN6qWBwqAYpjCJatcugY7NK8SHQvUscCA8,76936
2022-02-01,3oL9pBm7DJaVneKXA5ERAXjGY94AACvsT5J5qVY9CF3AXmyeQ9,72389
2022-02-01,3P2799wCgcGaqD3vwQ6w6VNfcB2wCoNBiFoJmcafzh8NXotg67,78506
2022-02-01,35AGYQC9ArExG1XsQtYrRgzNAMAeq9WN1mH7X2f7q5m7FmfZqx,748
2022-02-01,4KLxh5afYMMVsDp194Hh2aLitFDKLx6d7uB3yq4Ht4LdKp3f93,77032
2022-02-02,42MHeV4QcNVtidnUdDPdM2LedPb2QLKa7k1MQCXiRRPAZK3NtX,1224
2022-02-02,4oPhX3S91BTjo6oLTPJeuaKxqssFLU3FCT38z9b8nEobqTc7de,72889
2022-02-02,3wUbq9DzRqJ24zhhMgUizDq5DhiddGLFfFzpgE77cTTcMrynS8,1244
2022-02-03,3qFH9Y5H5RXzf9KurnL6tHKs5WUhQREf3W3gt3KtBUEEmNa72L,2376
2022-02-03,4mHGqdVg8ZphJMv7FLPGBfz45kp5bhMxnVkFQtyE2Jgzw8uGiu,1664
2022-02-04,3bkNSWQmzMjoAfGcD6FVj1wqAaZr9u39Z3epP9NwDNn59zUjQR,549
2022-02-04,3ePAca51vQDPRvMPc74X77P2kBRBy78v3fTe7KEBfLFh257oMh,76875
2022-02-04,3mFVFNTZCLnr4svMmD8b8xnPPtQ86cf56VmKbEe5j4styuuky7,2476
2022-02-06,3AboHRJai6oeKZ3xGT56PbNtLGmuqigNyeX5pRyNMp9265abnC,1824
2022-02-07,37S5Q3bDDaZr278vwK4Z1T9rbMoNSVFPjkos48W9Kz3kGJAiNg,1484
2022-02-07,35PExNiTo7NYRAQ3rA9LQnXziA3XpNpmiBVjAVGL7wo4hCvSXC,584
2022-02-07,36XFXPxAq58vCaQL54ZBfezaGhw9DPRHAqvAiZ3KTCzxd5DjYf,75556
2022-02-08,4fpTce6HZYUqAjTBB83WSU21johsP4i3U6tp9kS3WtuRPG4a1U,896
2022-02-09,3C31UHhkhuKTgkSsRW2a3EUwsMYALuQp6ZofNFX9xUb7n5JJ4Y,78475
2022-02-10,3XCjzF7ZkFEFhdM8MUpLMmEDCAjPwjWkcq4pxE275FyBSipRQp,73490
2022-02-10,3Yjsnom3nyemwpVxyKW1BeeUCiBPQ2Qtpk52CoMJj1WMQs429q,1078
2022-02-13,4oLbJLg5JgKi1hj1Gu1pKQGJfdGL2gUtzrNb96wa98nVFNwSCj,645
2022-02-14,4Q5JbmTwzbF5u5uXWMYUbZmKRmTcUdnwj6sE1Z7U7EMnzCk6TT,2343
2022-02-14,3sUhtvVh7EsDVRTUmMsuba7BNHB5325UujhRBoHoFnyKVEoGBQ,507
2022-02-14,3167B8oteiE9XqJddna1B5XrJbe5raAMw2nYqNWSqd4aPKs35d,1594
2022-02-14,3qLZQ47Q3ZWcTDa8ZXEDQeVGhRKSi1LRhejeZkjjnXdZjg7ZEL,82075
2022-02-14,38WZKv1nUQsXoRom6yKKJv9j1qNapFnA9Et6oGKWzN14Qknd1Q,613
2022-02-14,34SEBjPziJazTbGXPb4Pqt8JR7Swfajkqpy5GGFgNmY1NRXKv5,703
2022-02-15,4FdWeeAS67bcW1apNWb4egNEh586eqHK2wKUPJLsAyb6wF2DJy,44944
2022-02-15,3884suW5RGbzjyVAue8SfF6o88YcZbhXBLYq1YTFTSJCcLgYnS,622
2022-02-15,2xUakVZ1XdttBBCmQU7adBLNBHHR8WmZ5jKmwUShCgjPy9SwcL,82147
2022-02-15,41EhTV61HCQULJYkH4Y9FAHoqRwqioFn6BYGuBqSSwKorfyR4X,60127
2022-02-15,4UQJNbQPyTBWV6z2W5avKqtKMKV1QgqjKQiBaSMKND7GA7iyuk,75702
2022-02-16,3YPt8U4SR7FmQvtCyXcX7rVhN5jHrUqbzZ66nbHZT4T74fn5SQ,1962
2022-02-16,37vYM9BomGPMRyQmjhCtiGdepJaJnrRZ2WSXn1PktL2Qm22zmb,82174
2022-02-16,3JuGxPd6TfpTg6mxJ6PSGbqkXmMCYEjPbAYJCimhCSn86Unknf,472
2022-02-16,429je4znfa1MAKceaF6aateQZiATjgCfueTdEzMdJ2B6S6vPvZ,82184
2022-02-16,3BFChzvx3783jGUKgHVCanFVxyDAn5xT3Y5NL5FKydVMuBa7Bm,72723
2022-02-17,3M7x5QmWgfpAtxkmieEPJPjfqt6Mr6BJ4vXwv3bExXFAK56sa4,173
2022-02-17,33brugb6Nzqp5pboZykMC8ucYv29WGTEA55yokeEY9GM6boXPW,80563
2022-02-18,3pbk1SS8Aw4QmDNfBeAnETarqBtH8UZSBcn77VYa8wqrPiq8b3,348
2022-02-18,4ez21zkeAk1XwN28uztJMebEoYYAAhjHyaozo5oGWzH5jmha5G,82252
2022-02-18,3Bq1GqZY2NwTArDzByCDEPWRGE6SDPbsNhxpYk2RGPV3SaPXvj,530
2022-02-18,35aT61yjyDkcbTkXrTwgjmLrdxu5ZmGyq1CrRFctjqRtDojocJ,1340
2022-02-19,4a1weEUcaPka7ZPBEyZ6AndcdaxwKkUahZoABKYNWSYZ6eFtFT,82274
2022-02-20,43L4fNQbU9zTaeNMH98dRKvQf9E9xHuN7KMM66LCrXekiK3w1o,3915
2022-02-20,4a7fwthsAADQBx3jHLxkjTqF68W1K1rRYcRm9uRAVLmQmPMVP1,82316
2022-02-20,3ANDqH1henS42R7XE1b8ATf1Cwb27qYydTcepMpdeqh8iDwtij,72874
2022-02-21,4T5hLnDFA9Wk7V5gP3UFwg9WrqzPmH6n9zGzThmtpvxgPvD6v6,1138
2022-02-22,4sjQnCE2adxjag5VvimvyJwkZiFh9yjU2GPvckaBsZXmTs14cs,799
2022-02-22,3YERB3CXx9Qze9RMxq4nSkFd3AJRP43zNYHpYSbk7cPr4fCh3A,17010
2022-02-22,4P57gfuJBML7kueqgJ1xD37JqTLCy72N1cJyVLTc2UwxZgQFdZ,33665
2022-02-22,4sNmzUZHf8i56SbSHHypzxwSVyS7CX2swTZpCLna6Mor6zGczf,1632
2022-02-22,3FFuCo8i3R4aDHi97yjx4QSFeAp4iWU59XRiCoCLjhETYpDvT5,32766
2022-02-22,41sqssU9iefCinyy7pVXykYwcs5w2zvnSccsUo2T64xfsHe4gy,1460
2022-02-23,3HDw7aR8P4TcTqCmLFCaoiTKi4emtpZKD2Pxy7wUTrAKitBnko,81888
2022-02-23,3q842zVQL7HHPV4GEiWT259qAMd5Am6urPoBji2aP9CBhV3P3y,82408
2022-02-23,3YjLCGaFAS2wBne3QksR7JYwTGwAAhanFxq5ctSNyoTZEZd9yR,82401
2022-02-23,3e6UCZmQRMU1jhemPcBKrHBSm5jzikNH1Xi7zah3j2CRqKgoVD,654
2022-02-24,4V8QA1Cekwta3RJrXxuGyqPxEuBp4r2ws9xpiVevXbhP2hhNcC,82426
2022-02-24,3yrbaSPyACzZca9dZEf1TiF636tnp615kyxJbhiUi62CE5CjqX,79313
2022-02-25,3C3j87rNfA6rhv1FLi6PdS2pmB77LM8KrgYqppG28CuQ8vUrN3,984
2022-02-25,3R16LtDgXjYVqdJZ5NpvPLjvTZZAeg3p9URVRA2gEWrjQzdmwm,939
2022-02-26,3a7V29JbfLTdYhgy2udzFWasNQvFJapB515zEM9UgHS5J5dHLh,1897
