date,amount_to_make_top_100,amount_to_make_top_250
2023-05-28,5200452.696943,1057775.315249
2023-05-29,5201884.31019,1058066.42683
2023-05-30,5203316.64851,1058357.68585
2023-05-31,5204743.342213,1058647.797065
2023-06-01,5191610.707374,1058935.778345
2023-06-02,5192573.665143,1059170.068387
2023-06-03,5193793.897725,1055466.210641
2023-06-04,5210563.051946,1055466.210641
2023-06-05,5211979.641691,1055872.738667
2023-06-06,5197307.09012,1056670.180121
2023-06-07,5198218.2616,1057474.857415
2023-06-08,5199327.228984,1057746.461812
2023-06-09,5200174.505802,1058014.134143
2023-06-10,5201260.86448,1058822.370383
2023-06-11,5202009.171017,1059092.164324
2023-06-12,5202824.536128,1059629.203762
2023-06-13,5203777.599631,1060167.690483
2023-06-14,5205107.519465,1060321.404818
2023-06-15,5206185.874017,1061259.945559
2023-06-16,5207344.637007,1061568.064351
2023-06-17,5208470.083265,1061720.744341
2023-06-18,5209445.954061,1062034.436784
2023-06-19,5210335.548608,1064208.950981
2023-06-20,5211289.374704,1064502.248866
2023-06-21,5234976.135852,1064795.488387
2023-06-23,5237859.501387,1069862.427277
2023-06-24,5239301.860159,1070191.079683
2023-06-25,5240743.463956,1070446.750291
2023-06-26,5242185.273789,1070345.193457
2023-06-27,5218672.210848,1070345.193457
2023-06-28,5187840.651796,1071488.359764
2023-06-29,5189272.902246,1070384.938018
2023-06-30,5190706.289737,1070550.287328
2023-07-01,5192140.159753,1070883.453196
2023-07-02,5193573.688259,1072029.600684
2023-07-03,5224825.763786,1072533.641249
2023-07-04,5225920.949891,1072702.07848
2023-07-05,5226936.956149,1073033.676958
2023-07-06,5227987.834092,1073367.875272
2023-07-07,5229523.476561,1073367.875272
2023-07-08,5230702.347873,1073867.2879
2023-07-09,5232132.250303,1074366.624191
2023-07-10,5232929.365356,1074703.770682
2023-07-11,5206477.957899,1074313.728854
2023-07-12,5207911.515939,1070959.80551
2023-07-13,5209344.55839,1075923.27424
2023-07-14,5210777.573952,1076206.452426
2023-07-15,5212224.327856,1076493.820985
2023-07-16,5213670.627045,1076780.73487
2023-07-17,5215117.372889,1076695.660997
2023-07-18,5216564.762798,1076860.556169
2023-07-19,5218012.796509,1077191.281943
2023-07-20,5219460.708111,1077693.897416
2023-07-21,5220910.098932,1078332.905772
2023-07-22,5222360.494139,1078714.719685
2023-07-23,5223811.664243,1079085.448584
2023-07-24,5225263.428596,1079380.825521
2023-07-25,5226714.981497,1079860.953565
2023-07-26,5228166.204649,1080313.614981
2023-07-27,5229618.418904,1080323.247463
2023-07-28,5253852.657219,1080623.169709
2023-07-29,5254973.052369,1080927.515299
2023-07-30,5256281.931369,1081521.305841
2023-07-31,5257396.42072,1082565.899204
2023-08-01,5258321.751789,1082565.899204
2023-08-02,5259448.816998,1083187.789345
2023-08-03,5260578.783106,1083525.083414
2023-08-04,5261870.631768,1084028.24817
2023-08-05,5263226.702873,1082956.261402
2023-08-06,5264040.075136,1083242.108335
2023-08-07,5265003.977931,1083435.609652
2023-08-08,5265982.597968,1082565.899204
2023-08-09,5267201.290695,1082565.899204
2023-08-10,5268163.499874,1080313.614981
2023-08-11,5269116.98777,1080313.614981
2023-08-12,5270244.020261,1082565.899204
2023-08-13,5271385.880006,1082565.899204
2023-08-14,5272570.162503,1085506.620439
2023-08-15,5273738.192084,1085759.922249
2023-08-16,5274763.613108,1082565.899204
2023-08-17,5276162.420224,1082833.611529
2023-08-18,5261675.75148,1086499.656494
2023-08-19,5263141.030224,1086744.848575
2023-08-20,5264610.022123,1087062.323496
2023-08-21,5266074.408163,1087425.695268
2023-08-22,5267540.001395,1090503.787257
2023-08-23,5269005.55722,1088222.373166
2023-08-24,5270470.200809,1088550.027263
2023-08-25,5271931.613722,1091364.900773
2023-08-26,5273396.026137,1091652.044817
2023-08-27,5274856.986172,1091938.511913
2023-08-28,5276319.465199,1092225.276855
2023-08-29,5277781.819871,1092512.017413
2023-08-30,5288228.432167,1092797.012306
2023-08-31,5288228.432167,1093079.583358
2023-09-01,5288228.432167,1093366.559205
2023-09-02,5288228.432167,1093653.920883
2023-09-04,5288228.432167,1096323.812996
2023-09-05,5288228.432167,1096827.066347
2023-09-07,5290938.032613,1101812.807929
2023-09-08,5292408.213963,1101812.807929
2023-09-09,5293876.819199,1101812.807929
2023-09-10,5295349.275527,1115387.660113
2023-09-11,5296825.431194,1115698.592348
2023-09-12,5298300.588077,1116009.314203
2023-09-13,5299780.0804,1116320.94926
2023-09-14,5301258.799853,1116632.421522
2023-09-15,5302740.896404,1112499.773207
2023-09-16,5304224.909963,1112499.773207
2023-09-17,5305706.52073,1112499.773207
2023-09-18,5307190.317999,1112499.773207
2023-09-19,5309095.122166,1103624.977069
2023-09-20,5309095.122166,1103969.207442
2023-09-21,5309095.122166,1104139.493159
2023-09-22,5288228.432167,1112499.773207
2023-09-23,5288228.432167,1119446.895651
2023-09-24,5288228.432167,1119759.506517
2023-09-25,5288228.432167,1120072.541671
2023-09-26,5288228.432167,1127682.602038
2023-09-27,5288228.432167,1127682.602038
2023-09-28,5288228.432167,1127682.602038
2023-09-29,5288228.432167,1127682.602038
2023-09-30,5288228.432167,1127682.602038
2023-10-01,5288228.432167,1127682.602038
2023-10-02,5288228.432167,1134630.719835
2023-10-03,5309095.122166,1127682.602038
2023-10-04,5309095.122166,1134630.719835
2023-10-05,5309095.122166,1134630.719835
2023-10-06,5309095.122166,1134630.719835
2023-10-07,5309095.122166,1134630.719835
2023-10-08,5309095.122166,1134630.719835
2023-10-09,5309095.122166,1134630.719835
2023-10-10,5309095.122166,1127682.602038
2023-10-11,5288228.432167,1125083.684584
2023-10-12,5288228.432167,1112629.876902
2023-10-13,5288228.432167,1112991.426267
2023-10-14,5288228.432167,1113164.895917
2023-10-15,5309095.122166,1113412.527452
2023-10-16,5309095.122166,1126658.913917
2023-10-17,5309095.122166,1126974.033721
2023-10-18,5309095.122166,1127682.602038
2023-10-19,5309095.122166,1127682.602038
2023-10-20,5309165.122167,1127920.947442
2023-10-21,5309165.122167,1128236.276494
2023-10-22,5309165.122167,1128551.50438
2023-10-23,5313455.109249,1128867.205887
2023-10-24,5313455.109249,1134630.719835
2023-10-25,5313448.069376,1134630.719835
2023-10-26,5313448.069376,1134630.719835
2023-10-27,5314886.273865,1134630.719835
2023-10-28,5316429.730925,1130438.005993
2023-10-29,5317918.559552,1130750.826322
2023-10-30,5319404.484043,1131063.871862
2023-10-31,5320843.281036,1131376.393789
2023-11-01,5309095.122166,1111131.766243
